All installed programs list generated by choco-package-list-backup on 2021-10-13.


DisplayName                                                                   DisplayVersion               Publisher                         
-----------                                                                   --------------               ---------                         
Visual Studio Build Tools 2022 Preview                                        17.0.0 Preview 4.1           Microsoft Corporation             
Visual Studio Community 2022 Preview (2)                                      17.0.0 Preview 4.1           Microsoft Corporation             
Alt-Tab Terminator                                                            4.9                          NTWind Software                   
                                                                                                                                             
Contacts Importer for Google 3.1                                                                           LivePIM Software Inc.             
Git Time Metric                                                               v1.3.5                       edgeg.io                          
GNU Privacy Guard                                                             2.2.28                       The GnuPG Project                 
Google Cloud SDK                                                                                           Google Inc.                       
Gpg4win (3.1.16)                                                              3.1.16                       The Gpg4win Project               
heroku                                                                                                     Heroku                            
MEGAsync                                                                                                   Mega Limited                      
Microsoft Edge                                                                94.0.992.47                  Microsoft Corporation             
Microsoft Edge Update                                                         1.3.153.47                                                     
Microsoft Edge WebView2 Runtime                                               94.0.992.31                  Microsoft Corporation             
Microsoft Help Viewer 2.3                                                     2.3.31709                    Microsoft Corporation             
Rainmeter                                                                     4.5.4                        Rainmeter                         
RStudio                                                                       2021.09.0+351                RStudio                           
                                                                                                                                             
Keeper Commander v16.1.10                                                     v16.1.10                     Keeper Security, Inc.             
Windows Team Extension SDK                                                    10.1.20348.1                 Microsoft Corporation             
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664                  12.0.40664.0                 Microsoft Corporation             
Universal CRT Redistributable                                                 10.0.26624                   Microsoft Corporation             
Microsoft .NET Host FX Resolver - 6.0.0 Rc 1 (x86)                            48.3.29277                   Microsoft Corporation             
Windows SDK Desktop Tools arm64                                               10.1.19041.685               Microsoft Corporation             
Windows IoT Extension SDK                                                     10.1.19041.685               Microsoft Corporation             
vs_tipsmsi                                                                    17.0.31703                   Microsoft Corporation             
Microsoft TestPlatform SDK Local Feed                                         16.9.0.4315479               Microsoft                         
WinRT Intellisense UAP - en-us                                                10.1.19041.685               Microsoft Corporation             
Imaging Designer (DesktopEditions)                                            10.1.21382.1                 Microsoft                         
Windows SDK for Windows Store Apps DirectX x86 Remote                         10.1.19041.685               Microsoft Corporation             
Windows SDK Desktop Tools arm64                                               10.1.20348.1                 Microsoft Corporation             
Windows SDK Modern Versioned Developer Tools                                  10.1.20348.1                 Microsoft Corporation             
Windows Mobile Extension SDK Contracts                                        10.1.20348.1                 Microsoft Corporation             
Windows SDK EULA                                                              10.1.20348.1                 Microsoft Corporations            
Universal CRT Headers Libraries and Sources                                   10.1.20348.1                 Microsoft Corporation             
Microsoft .NET CoreRuntime SDK                                                1.1.27004.0                  Microsoft Corporation             
Windows Deployment Image Servicing and Management Tools (OnecoreUAP)          10.1.21382.1                 Microsoft                         
Visual C++ Library CRT Appx Package                                           14.30.30528                  Microsoft Corporation             
Windows System Image Manager on amd64                                         10.1.21382.1                 Microsoft                         
vs_communitymsi                                                               17.0.31709                   Microsoft Corporation             
WinRT Intellisense PPI - en-us                                                10.1.19041.685               Microsoft Corporation             
Windows SDK Desktop Libs x64                                                  10.1.19041.685               Microsoft Corporation             
Microsoft .NET Framework 4.7.2 Targeting Pack                                 4.7.03062                    Microsoft Corporation             
Windows Setup Files (Holographic)                                             10.1.21382.1                 Microsoft                         
Windows SDK Desktop Libs x64                                                  10.1.20348.1                 Microsoft Corporation             
Imaging Designer (OnecoreUAP)                                                 10.1.21382.1                 Microsoft                         
Windows SDK Desktop Tools x86                                                 10.1.19041.685               Microsoft Corporation             
OATool                                                                        10.1.21382.1                 Microsoft                         
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
Windows SDK Signing Tools                                                     10.1.20348.1                 Microsoft Corporation             
Windows SDK for Windows Store Apps Libs                                       10.1.19041.685               Microsoft Corporation             
WinRT Intellisense IoT - Other Languages                                      10.1.19041.685               Microsoft Corporation             
Windows Deployment Tools Environment                                          10.1.21382.1                 Microsoft                         
Oscdimg (OnecoreUAP)                                                          10.1.21382.1                 Microsoft                         
Silent Install Builder 6                                                      6.1.0.0                      Aprel Tech, LLC                   
Windows SDK Desktop Headers x86                                               10.1.20348.1                 Microsoft Corporation             
WinRT Intellisense UAP - Other Languages                                      10.1.20348.1                 Microsoft Corporation             
vs_minshellinteropmsi                                                         17.0.31709                   Microsoft Corporation             
Windows App Certification Kit SupportedApiList x86                            10.1.19041.685               Microsoft Corporation             
Microsoft .NET Host - 5.0.11 (x86)                                            40.44.30523                  Microsoft Corporation             
Windows SDK Desktop Headers x64                                               10.1.20348.1                 Microsoft Corporation             
Appman Auto Sequencer                                                         10.1.21382.1                 Microsoft                         
Windows SDK for Windows Store Apps Contracts                                  10.1.19041.685               Microsoft Corporation             
Windows SDK Desktop Libs arm                                                  10.1.19041.685               Microsoft Corporation             
WinAppDeploy                                                                  10.1.19041.685               Microsoft Corporation             
Microsoft .NET Framework 4.6 Targeting Pack                                   4.6.00081                    Microsoft Corporation             
Windows SDK for Windows Store Apps Metadata                                   10.1.19041.685               Microsoft Corporation             
Windows SDK Facade Windows WinMD Versioned                                    10.1.19041.685               Microsoft Corporation             
Universal CRT Tools x86                                                       10.1.20348.1                 Microsoft Corporation             
WinAppDeploy                                                                  10.1.20348.1                 Microsoft Corporation             
vs_minshellsharedmsi                                                          17.0.31709                   Microsoft Corporation             
Windows SDK for Windows Store Apps DirectX x86 Remote                         10.1.20348.1                 Microsoft Corporation             
Windows SDK Desktop Libs x86                                                  10.1.20348.1                 Microsoft Corporation             
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30528                14.30.30528                  Microsoft Corporation             
WinRT Intellisense IoT - en-us                                                10.1.19041.685               Microsoft Corporation             
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030                  11.0.61030.0                 Microsoft Corporation             
Windows SDK AddOn                                                             10.1.0.0                     Microsoft Corporation             
Windows SDK for Windows Store Apps                                            10.1.20348.1                 Microsoft Corporation             
OA3Tool                                                                       10.1.21382.1                 Microsoft                         
SDK ARM Additions                                                             10.1.20348.1                 Microsoft Corporation             
WinRT Intellisense IoT - Other Languages                                      10.1.20348.1                 Microsoft Corporation             
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.30.30528                     14.30.30528                  Microsoft Corporation             
Windows SDK Desktop Headers x86                                               10.1.19041.685               Microsoft Corporation             
Imaging Tools Support (OnecoreUAP)                                            10.1.21382.1                 Microsoft                         
WinRT Intellisense Mobile - en-us                                             10.1.19041.685               Microsoft Corporation             
Windows Software Development Kit - Windows 10.0.19041.685                     10.1.19041.685               Microsoft Corporation             
Python Launcher                                                               3.10.7581.0                  Python Software Foundation        
Windows SDK for Windows Store Apps Tools                                      10.1.20348.1                 Microsoft Corporation             
Microsoft .NET CoreRuntime For CoreCon                                        1.0.0.0                      Microsoft Corporation             
Windows IoT Extension SDK Contracts                                           10.1.19041.685               Microsoft Corporation             
Windows Mobile Extension SDK                                                  10.1.20348.1                 Microsoft Corporation             
Windows SDK                                                                   10.1.20348.1                 Microsoft Corporation             
Windows SDK for Windows Store Apps Tools                                      10.1.19041.685               Microsoft Corporation             
Windows SDK Desktop Headers arm                                               10.1.19041.685               Microsoft Corporation             
Microsoft Portable Library Multi-Targeting Pack Language Pack - enu           17.0.31703.232               Microsoft Corporation             
Universal CRT Extension SDK                                                   10.1.19041.685               Microsoft Corporation             
Microsoft .NET SDK 5.0.400 (x64)                                              5.4.21.37610                 Microsoft Corporation             
vs_clickoncebootstrappermsires                                                17.0.31703                   Microsoft Corporation             
Windows SDK ARM Desktop Tools                                                 10.1.20348.1                 Microsoft Corporation             
vs_devenvsharedmsi                                                            17.0.31703                   Microsoft Corporation             
